field,required,description
dataset_id,yes,Stable dataset and release identifier.
source_file,yes,Source file path or public archive identifier.
source_file_sha256,yes,SHA-256 of the immutable source file.
immutable_row_id,yes,Stable row identifier independent of dataframe ordering.
source_row_index,yes,Original row or spectrum index within the source file.
physical_target_id,yes,Identifier of the physical specimen or target.
location_or_subtarget_id,when available; required for a location-level split,"Ablation location, crater, mapped region, depth position, or other subtarget unit used to verify within-target separation."
preparation_batch_id,when available,Preparation batch or sister-sample group.
provenance_family_id,when available,Prespecified physical-provenance family used for Ind assignment.
split_group_id,when used,Final conservative grouping unit used to prevent linked physical/provenance units from crossing a split.
session_id,when available,Measurement session or continuous acquisition window.
device_id,when available,Physical instrument identifier.
class_or_analyte,yes,Classification label or modeled analyte field.
split_name,yes,Named split design or cohort.
split_role,yes,"Training, selection-validation, reserved-refit, or final-evaluation role."
split_version,yes,Immutable split release version.
selection_or_final,yes,Whether the record participates in model selection or final evaluation.
locked_before_modeling,yes,Whether membership was frozen before model development.
notes,no,Study-specific information needed to interpret the boundary.
